DOCUMENT_NO,NARRATIVE,label,DEGREE_INJURY,IMMED_NOTIFY,ACTIVITY,OCCUPATION,SUBUNIT,CLASSIFICATION,MINE_ID,CONTRACTOR_ID,CAL_YR
220241420003,"Employee was moving extra chain out of the way from an air hoist holding a screen up. The airline fitting feeding air to the air hoist had a crimp fail and pulled loose. When the crimp failed the air filter that hangs from the air hoist, that weighs approximately 10LBS, fell approximately 18 feet striking the employee in the right arm just below the elbow.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4100025,,2024
220241230008,"EE ducked under the midrail just above the toe board to fit in a piece of material. On the way out the hardhat caught, EE flinched, EE's hardhat and glasses fell off. This resulted in EE contacting a piece of toe board with the bridge of nose. Four stitches were applied to 1/2 laceration.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,Welder (shop),MILL OPERATION/PREPARATION PLANT,STRIKING OR BUMPING,4100013,C1739,2024
220241660010,"EE was letting down cable out of a rope hanger that was connected to a spad nail. The spad nail came out of the rib, hitting EE's left hand against a roof plate cutting EE's hand",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Move power cable,"Scoop car/Scooptram operator, Load/Haul/Dump (LHD) operator, Teletram operator",UNDERGROUND,HANDLING OF MATERIALS,4609495,A5566,2024
220242810018,"A non-injury roof fall was discovered on the No. 1B Belt; Track Entry; No. 3 Break, near spad 3235. Fall measured approximately 70 feet long x 19 feet wide x 8 feet high.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4609550,,2024
220243320003,Exited the cab of a Hydraulic Shovel to use the restroom and the jacket of the employee snagged on the door and slammed on the employees left middle finger. Employee was seen at the ER and had X-Ray imaging done on the affected finger. X-Ray showed a hair line fracture on the affected finger. Employee received a return to work no restriction on next scheduled shift (11-25-2024),0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Getting on or off equipment,"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2601842,,2024
220240330012,An unplanned roof fall at or above the anchorage point occurred at the face of the #1 entry of the 1 Left miner unit. The fall measured 48 ft. L x 16 ft. wide x 7 ft. high.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4608864,,2024
220242180008,"The Aggregate Foreman was attempting to attach a trailer carrying a compressor to EE's F-150 work truck. While trying to set the trailer hitch onto the hitch ball of the truck, the trailer hitch came off the ball and moved forward. The employee got EE's finger caught between the hitch and the bumper of the truck, causing a laceration to EE's left index finger.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Move non-self-propelled equip,"Outside foreman, Leadman","STRIP, QUARY, OPEN PIT",NONPOWERED HAULAGE,0201203,,2024
220240820018,"The injured employee was removing the bolts for the discharge pump on the 3P1042 pump. When removing the last bolt, the pipe moved pinching employee's right hand between pipe and the motor base for the pump.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2103352,,2024
220243110005,"Employee was working outside during a windy, dry day and got dust in the eye. They didn't notice an issue until the next day when there was some irritation. They eye doctor prescribed antibiotic eyedrops for precaution.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Supervise,"Assayer, Geologist, Metallurgist, Engineer, Engineer management",MILL OPERATION/PREPARATION PLANT,OTHER,2300284,,2024
220241170015,"Employee was opening boxes to receive them. EE pulled one of the boxes from the cart at the bottom. As EE was trying to get it out from the bottom the box on top fell over and hit EE in the head. The employee complained of a headache about an hour later but said other than that felt fine. On 4/25/2024 EE wanted to be checked out, so Safety took EE to the clinic.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Warehouse, Supply handler",OTHER MINING,HANDLING OF MATERIALS,0404614,,2024
220241380016,On 5/12/2024 smoke and a smell were reported at the top of the underground slope. MSHA was notified and the mine rescue team started underground exploration. The team found a mechanics' standing toolbox that had been on fire. The fire was out when the team arrived on scene.,1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FIRE,1500062,,2024
220240400009,Employee was cleaning up spillage on the longwall face and picked up a chunk of coal to throw back into the panline and got finger caught between the panline and chunk of coal causing laceration.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Handling coal, Rock, Ore","Longwall operator, Chock operator, Shear operator, Plow operator",UNDERGROUND,HANDLING OF MATERIALS,4609447,MVK,2024
220243480002,Employee was pulling a new hydraulic hose out of the back of EE's service truck that still had plastic on it. EE took EE's gloves off before handling the hose so EE could rip the plastic off of it. When EE pulled the hose EE felt a sharp pain in EE's left index finger. When EE looked EE had about a 1 inch laceration on the end of EE's index finger,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2103352,,2024
220241690002,"Employee removed access cover where sand is lifted using a vertical elevator, attempted to use a piece of rebar to poke at what the employee described as ""wet sand"" in an attempt to unclog the sand and allow it to pass through to the vertical elevator. While poking at the sand, the rebar contacted a section of the vertical elevator which casued the employee's hand to be pinched.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator","STRIP, QUARY, OPEN PIT",HOISTING,1601525,,2024
220242690012,"Employee was cutting corrugated pipe with a razor knife. Knife slipped and stabbed them in the left forearm, resulting in four stitches in the left forearm.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Utility man, Shift tech, Service/Dump truck operator",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),0901108,,2024
220240240005,A roof fall was found in the beltline entry in the E-15 butt approximately 80 feet long and at least 6' high. There was a localized clay vein in the area of the fall.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,3608785,,2024
220242210030,"A small roof fall, in the 1 east tail gate road. Location xcut 13 in two entry. Conditions are good thru out this area.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,2401950,,2024
220241080020,Number nine elevator shaft computer showed brake fault on the screen and management elected to take elevator out of service to assess fault.,1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,HOISTING,3605018,,2024
220240880007,An unplanned fall of the mine roof preventing passage occurred at 58 block of the belt entry of the HG #1 longwall.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4609447,,2024
220242320010,Employee was splitting field stone when a piece of EE's chisel broke off and hit EE's knee.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),4703664,,2024
220242640005,"The employee knelt beside the tool slide doing inventory, when a rock fell out and struck EE in the top of the head and then the right knee. 3 staples were required in the cut on the head. no work missed.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",UNDERGROUND,FALL OF ROOF OR BACK,1519374,,2024
220241830142,EE was attempting to enlarge a hole on a rubber skirt. The knife EE was using slipped and cut the web of EE's other hand. The EE received one (1) suture in their hand.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),3608484,,2024
220241240039,"While stripping wire insulation with a razor knife, an employee's grip slipped, causing the blade to cut their left index finger on the opposite hand, resulting in a laceration.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Electrical maintenance,"Electrician, Lineman",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),4201429,,2024
220242320023,Historic rainfall leading to ground movement.,1,ACCIDENT ONLY,INNUMDATION,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",INUNDATION,4300702,,2024
220240360002,Removing bolts from a differential using a Hytorc and wrench. The wrench slipped off the bolt and struck the worker in the safety glasses. The safety glasses broke and caused a laceration to the right eyebrow. Worker received 10 sutures.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (powered),"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",MACHINERY,0402542,DVR,2024
220242710006,"Employee was rib pinning in the 14L Section, when a rock fell from the mesh and struck EE in the left ear. Employee finished EE's shift and was treated to close the laceration with 6 stitches. Employee did not miss any scheduled time as a result of the injury.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Drill face, Rib, Side, Down","Laborer, Bull gang, Faceman, Parts runner, Roustabout, Roof trimmer/scaler",UNDERGROUND,HANDLING OF MATERIALS,3607230,,2024
220243410016,When the hoistmen tried to reset the Service Hoist it would not reset and gave a YA1 fault. The hoistmen called electricians and while diagnosing they found a bad fuse. Electricians replaced fuse and got the hoist operational.,1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,SURFACE AT UNDERGROUND,HOISTING,1000088,,2024
220250310003,Employee was moving a drum when EE felt a pain is EE's stomach. The pain ended quickly and EE resumed work. On 12/22/2025 EE felt the pain again doing light work. EE later visited a doctor and was diagnosed with a hernia. It was reported on 01/06/2025. After investigating the incident it was determined to be work related on 01/29/2025.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Bit sharpener, Bit grinder, Grinder","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4200706,,2024
220242890035,Faults involving the limit switches on the mine personnel hoist resulted in the hoist being down for a period of time greater than 30 minutes. No miners were entrapped and no injuries resulted.,1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,HOISTING,4609447,,2024
220242180028,"EE was climbing down an affixed steel ladder, when EE got to the bottom EE slipped & gashed EE's arm on an improperly exposed bolt",1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,"Climb scaffolds, Ladders","Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,0103565,,2024
220240380006,"unintentional roof fall occurred in the G butt #3 entry 120ft. inby SS#2929. The fall was approximately 20ft.wide by 20ft.long at an unknown height. The exact cause is unknown, but the roof in this area is laminated shale with sandstone streaks.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,3609666,,2024
220242690026,Employee was in the front passenger seat of a mantrip that was traveling the supply road to bottom when it drove through a clear curtain and struck the bucket of a diesel scoop that was backing into a crosscut. The injured employee hit their head on the mantrip resulting in a laceration on EE's forehead. Employee was taken to the ER and received glue on the wound.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Mantrip,"Continuous miner operator, Coal mole operator",UNDERGROUND,POWERED HAULAGE,1519374,,2024
220241350019,"Semi tractor trailer was overloaded with 99,000lbs.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Haulage or Dump truck,"Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver","STRIP, QUARY, OPEN PIT",POWERED HAULAGE,1202372,RD1,2024
220241440024,Employee was operating a continuous miner cutting a crosscut when a piece of metal pierced employee's left bicep. The piece of metal was removed and required 1 butterfly strip. Employee returned to work on employee's next shift.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Continuous miner,"Continuous miner operator, Coal mole operator",UNDERGROUND,MACHINERY,1519374,,2024
220241500018,"At the beginning of shift the operator noticed the dome light cover was off and could tell the dome light was burned out. The operator applied slight pressure to remove the old bulb when the bulb shattered, cutting right middle finger. Operator was assessed by Rescue and taken to the clinic by Safety where the operator received 5 stitches.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Inspect equipment or mine,"Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,0203131,,2024
220240160015,"Employee was using a knife to open a box of belt rivets. While cutting, the knife slipped and cut employee's right hand below the thumb, palm side. Received 4 stitches. Employee failed to maintain control of the knife and was cutting toward self. Employee was wearing protective gloves. Returned to work the next shift.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Beltman, Conveyor man,  Conveyor belt worker, Mobile bridge carrierman, Feeder operator, Conveyor rider",UNDERGROUND,HANDTOOLS (NONPOWERED),4601318,,2024
220242390028,A roof fall occurred on 8/17/2024 at 3-17xc at approx 7:35 pm. The area was 16'x80'x10'. The area was dangered off on all sides. The roof fall will be cleaned up.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4601437,,2024
220243050010,EE was cutting a new piece of belt for EE's standoff chain on the continuous miner. EE was holding the belt with left hand while cutting with right. The belt knife slipped out of the belt striking EE's left hand.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Continuous miner operator, Coal mole operator",UNDERGROUND,HANDTOOLS (NONPOWERED),1518565,,2024
220243100021,Employee was walking across the last open crosscut when EE hit head on a low hanging brow causing EE to jam neck. Started physical therapy on 10/22/2024.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Laborer, Bull gang, Faceman, Parts runner, Roustabout, Roof trimmer/scaler",UNDERGROUND,STRIKING OR BUMPING,1519374,,2024
220241220003,EE walked through water puddles not realizing there was ice underneath. EE slipped. EE reported EE's knee hurt the next day and we sent EE to the doctor who released EE to full duty with follow up visit & therapy. Knee strain was the diagnosis. EE has always been released to full duty but was referred to an Ortho doctor who thinks EE needs to have EE's knee repaired.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,1401517,,2024
220241080006,EE was using a utility knife when the knife slipped and cut EE's left middle finger and index finger. EE was not wearing cut resistant gloves as required by company policy. EE stated that EE had just removed EE's gloves to get a better grip. EE received 5 stitches in EE's left middle finger.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Roof bolter, Rock bolter,  Pinner, Mobile roof support operator (MRS)",UNDERGROUND,HANDTOOLS (NONPOWERED),4609297,,2024
220245550001,A contractor was found in a shallow pool of water at the base of a highwall.,1,FATALITY,DEATH,Unknown,"Outside foreman, Leadman","STRIP, QUARY, OPEN PIT",OTHER,3608942,C1484,2024
220241410002,"An LHD tire came off the Forks of a Telehandler during transport and rolled down the Range Front decline ramp. The tire contacted a CUSA Minca Paus 18.1 personnel carrier near crosscut 6, with two employees in the Cabin of the Paus. The Paus passenger sustained a laceration on the top of EE's head requiring staples to close.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Mantrip,"Miner, NEC",UNDERGROUND,POWERED HAULAGE,2602573,M445,2024
220241830123,"An unplanned roof fall measuring approximately 52 ft. long by 16 ft. wide by up to 8 ft. above anchorage occurred in the #1 entry 3-way intersection at 85 wall in the 2 Left gate section. The fall encompassed the entire width of the #1 entry and extended through the #1 to #2 crosscut, stopping approximately 4' from the #2 entry.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4608864,,2024
220242150010,"Employee was using a shovel to clear debris out from under a piece of equipment. They reported to manager that their back was hurting. After direction from the manager they came to the office and reported the injury to Human Resources, employee was encouraged to go to the walk-in clinic, they completed the accident report at the office, prior to going to the walk-in clinic.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Hand load, Hand shoveling","Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4503831,,2024
220240310011,"Employee slipped, fell, and injured right hand knuckles.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Miner, Prospector, NEC",MILL OPERATION/PREPARATION PLANT,SLIP OR FALL OF PERSON,0200024,,2024
220241300012,"Boom truck was not setup properly due to limitations caused by concrete barriers. After the boom truck flipped on its side due to outriggers not being deployed an all stop was not called to access the hazards presented by the equipment failure. After attempting to safely stabilize the hoisted load, consideration was not made for a safe clear escape path.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Electrician, Lineman",MILL OPERATION/PREPARATION PLANT,MACHINERY,0900337,3UF,2024
220243540019,EE was attempting to cut a piece of rubber with a utility knife when the knife slipped and cut EE's wrist.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),3600266,,2024
220243380028,Employee was pre-shifting and found a fall on 1A travelway from break 16 to 17 #4 entry,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1519838,,2024
220241170023,Employee was walking beside of a metal skid that supplies are stored on when EE caught left arm on the corner of the skid resulting in a laceration that required stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Laborer, Bull gang,  Parts runner, Roustabout, Roof trimmer/scaler",UNDERGROUND,STRIKING OR BUMPING,1517216,,2024
220242000015,"Employee fell while entering a skidsteer. EE lost balance and fell with arms stretched out. X-rays confirmed EE had broken EE's elbows and physical therapy was prescribed on 06/17/2024. At first, PT was prescribed for degenerative non-work-related issues with shoulder, but after investigation, the doctor stated PT was needed for elbows. Might be over reporting here.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Getting on or off equipment,"Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,0901039,,2024
220243200004,Hoist House lost power due to a storm passing. Knocked power at Sub Station. The power has been restored.,1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,HOISTING,4404856,A01,2024
220242970044,"During operation of hoisting rock, an encoder fault had occurred on the hoist, stopping operation. While trying to reset the fault by powering the system down per the instructions of the manufacturer, the drive would not power back on due to the plunger on the contacts not tripping, therefore not giving the reset feedback to the system.",1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,SURFACE AT UNDERGROUND,HOISTING,1200427,,2024
220240890013,At 2:50 P.M. on 03/28/2024 Addcar system 18 became stuck underground approximately 480ft and is unable to move under its own power,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,AUGER,MACHINERY,1800813,,2024
220242770004,"While conducting a PM on a light plant, employee was trying to lay the mast down when it became stuck. EE grabbed the bottom of the mast, and it folded back and lacerated EE's right middle finger. EE was taken to the ER, received stitches and released to work.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2900708,,2024
220242530001,The inside of screen 3 needs to be removed of 2 inch of dust dirt before descending down into the screen to do repair work on the bottom of the screen hopper.,1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,Getting on or off equipment,"Washer operator, Sizing operator","STRIP, QUARY, OPEN PIT",SLIP OR FALL OF PERSON,3700064,,2024
220242570030,Hoisting system was down more than thirty minute due to Motor failure. Motor was replaced. All personnel were on surface.,0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,HOISTING,4404856,A01,2024
220241370015,A coal oxidizer was located in the top of Roland in West Cast pit area. The oxidizer is at the top of the coal seam under the cast wall and will require more than 30 minutes but are currently in the process of getting equipment into the area to extinguish.,0,ACCIDENT ONLY,NO VALUE FOUND,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",FIRE,4801078,,2024
220250030007,Employee was bolting top and was attempting get drill still out of hole and a piece of sharp rock fell from around the drill hole and cut their forearm. Employee received 4 stitches to close wound.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Roof bolter, Drilling","Roof bolter, Rock bolter,  Pinner, Mobile roof support operator (MRS)",UNDERGROUND,MACHINERY,1519860,,2024
220241900002,An inundation of carbon monoxide occurred on 6/28/24 at the void fill area from 47 to 49 crosscut on the HG #1 Longwall section.,1,ACCIDENT ONLY,INNUMDATION,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,INUNDATION,4609447,,2024
220243260019,Roof fall 1 break inby spad #341,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1519116,,2024
220250420025,Employee was closing the door off the fire extinguisher and sustained an insect bite to right arm.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",MILL OPERATION/PREPARATION PLANT,OTHER,1600352,,2024
220243170019,"On Tuesday, November 5th, around 3:30 p.m., an iron worker helper injured their right middle finger while adjusting a steel I-beam. During the bolting process, the worker's finger got caught between the reaction arm of a pneumatic tool and the I-beam, causing a laceration.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Steel worker, Iron metal worker, Iron worker",SURFACE AT UNDERGROUND,MACHINERY,2602246,P276,2024
220242830019,"Ee was traveling down 1600 haulage when loader bucket made contact with pillar causing an abrupt stop. Ee hit left side of face on cab window. Seen at clinic, diagnosed with contusion/swelling, and released to modified duty. No restricted days worked as ee had fatigue night. On follow-up 10/4 released to full duty.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Front-end loader,"Miner, NEC",UNDERGROUND,POWERED HAULAGE,2602246,,2024
220243050012,"An unplanned roof fall occurred on Unit #3 in entry 8 xc 15. The fall measured approximately 20' in length, 20' in width, and 9' thick.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,1202394,,2024
220240680028,"Employee was tossing a timber when it slipped and impacted a roof jack, causing the pinky finger to get smashed. Employee received sutures to the finger.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling timber,"Laborer, Bull gang,  Parts runner, Roustabout, Roof trimmer/scaler",UNDERGROUND,HANDLING OF MATERIALS,1202394,,2024
220240050011,While crawling past the bolter employee cut their left ear on a sign that was hanging off of the bolter resulting in 6 stitches.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Crawling, Kneeling","Laborer, Bull gang, Faceman, Parts runner, Roustabout, Roof trimmer/scaler",UNDERGROUND,STRIKING OR BUMPING,3609127,,2024
220242970002,On 10/10/24 a roof fall was discovered by an EE during EE's pre-shift. The roof fall happened between 4:30 pm 10/9/24 and 5:30 am 10/10/24. Roof fall is located at break 37 on the Primary Escapeway in the intake. No equipment was involved. The fall was 5 feet in height.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,0103389,,2024
220241150031,Employee was injured while working on a conveyor system.,1,FATALITY,DEATH,Machine maintenance,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech","STRIP, QUARY, OPEN PIT",POWERED HAULAGE,0504841,,2024
220243370008,"A power outage at the 491 Substation knocked out power to the kiln system, which includes the PHT elevator. At the time of the outage, a production technician was in the elevator and became trapped, at the 30 minute mark MSHA was notified. through the hatch at the top of the elevator car. Employee was able to self-rescue when power was not restored.",1,ACCIDENT ONLY,ENTRAPMENT,NO VALUE FOUND,NO VALUE FOUND,MILL OPERATION/PREPARATION PLANT,ENTRAPMENT,4100026,,2024
220241150021,Employee was moving a drum and the drum cut the left thumb.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Mine manager, Mine foreman, Mine owner",MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,1100786,,2024
220250140019,"Employee reported to supervisor on 1/4/2025 that employee allegedly hurt wrist on 12/4/2024, approximately one month prior, during a maintenance project while using a hammer. Employee sought medical treatment on 1/4/2025, and advised management of being prescribed a wrist brace and prescription.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Hand tools (not powered),"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",MILL OPERATION/PREPARATION PLANT,HANDTOOLS (NONPOWERED),4001427,,2024
220240680023,"An unplanned roof fall occurred on J3 section, 12 crosscut, #5 entry approximately 14' high.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4609029,,2024
220242670017,"contracted stripping crew reported a chip trailer had started on fire likely due to sparks from chipper igniting the chips. Operations were immediately shut down, emergency response executed and plant water trucks / local fire dept were called to assist. Fire was extinguished, all clear was given at appx 7:45 pm. NO injuries. Fire did not spread beyond top of trailer.",1,ACCIDENT ONLY,MINE FIRE,NO VALUE FOUND,NO VALUE FOUND,"STRIP, QUARY, OPEN PIT",FIRE,2000062,,2024
220240790006,"The road was dry, sun was shining, the truck went down a 7% grade and made contact with a berm causing it to roll to its left side.",1,DAYS AWAY FROM WORK ONLY,SERIOUS INJURY,Haulage or Dump truck,"Haul/Off road/Coal/Ore/Pit/Quarry/Rock/Rubber tire truck driver, Transportation truck driver","STRIP, QUARY, OPEN PIT",POWERED HAULAGE,1100027,,2024
220241830055,Employee placing metal on sheer table. While doing so the sheet teetered and struck employee upper right arm just above the elbow causing laceration.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,Welder (non-shop),MILL OPERATION/PREPARATION PLANT,HANDLING OF MATERIALS,1400124,,2024
